experiment,point,run,seed,method,n,m,d_or_h,k,total_s,ari,nmi,t_kmeans,t_affinity,t_spectral,t_propagate,t_laplacian,t_eigen,t_spectral_kmeans,status,error
m,50,0,22188,author,20000,50,64,10,0.3733952045440674,0.6056428517904933,0.6902915170635839,,,,,,,,ok,
m,50,0,22188,cuda,20000,50,64,10,0.14564132690429688,0.6010837966922037,0.6895023897108038,,,,,,,,ok,
m,50,1,22189,author,20000,50,64,10,0.38256216049194336,0.5788172062463856,0.6714342170981128,,,,,,,,ok,
m,50,1,22189,cuda,20000,50,64,10,0.04035329818725586,0.5851240592279887,0.6666678358343686,,,,,,,,ok,
m,50,2,22190,author,20000,50,64,10,0.37647128105163574,0.530133738371556,0.6497457971157319,,,,,,,,ok,
m,50,2,22190,cuda,20000,50,64,10,0.04016876220703125,0.5157732441450397,0.6420969918947445,,,,,,,,ok,
m,50,3,22191,author,20000,50,64,10,0.38692188262939453,0.5579960960008901,0.658809558651687,,,,,,,,ok,
m,50,3,22191,cuda,20000,50,64,10,0.040273189544677734,0.5188332045857342,0.6603892794943299,,,,,,,,ok,
m,50,4,22192,author,20000,50,64,10,0.40241503715515137,0.5663974403338145,0.6755596663704335,,,,,,,,ok,
m,50,4,22192,cuda,20000,50,64,10,0.04053807258605957,0.5535021674122231,0.6670017609642288,,,,,,,,ok,
m,100,0,22188,author,20000,100,64,10,0.5607180595397949,0.5909079180035769,0.7208049573559253,,,,,,,,ok,
m,100,0,22188,cuda,20000,100,64,10,0.07385659217834473,0.6464857135386768,0.6990423272225486,,,,,,,,ok,
m,100,1,22189,author,20000,100,64,10,0.5627069473266602,0.5457185653814826,0.6926759877043422,,,,,,,,ok,
m,100,1,22189,cuda,20000,100,64,10,0.07377243041992188,0.63934809578391,0.7376024501038623,,,,,,,,ok,
m,100,2,22190,author,20000,100,64,10,0.5689654350280762,0.6734326494358525,0.7370550548938677,,,,,,,,ok,
m,100,2,22190,cuda,20000,100,64,10,0.07327985763549805,0.6480259658251634,0.7131588829660218,,,,,,,,ok,
m,100,3,22191,author,20000,100,64,10,0.5441594123840332,0.5992099088784606,0.7113540644322642,,,,,,,,ok,
m,100,3,22191,cuda,20000,100,64,10,0.0740966796875,0.6488371872280037,0.7177925566832689,,,,,,,,ok,
m,100,4,22192,author,20000,100,64,10,0.5635912418365479,0.6633315665291909,0.7423989156231652,,,,,,,,ok,
m,100,4,22192,cuda,20000,100,64,10,0.07349276542663574,0.6468598410988291,0.7136080243613901,,,,,,,,ok,
m,250,0,22188,author,20000,250,64,10,1.2257819175720215,0.691425377096125,0.7756852441267673,,,,,,,,ok,
m,250,0,22188,cuda,20000,250,64,10,0.19034600257873535,0.7232496624620992,0.7813160687926655,,,,,,,,ok,
m,250,1,22189,author,20000,250,64,10,1.2339308261871338,0.7236613666811974,0.7843859956097121,,,,,,,,ok,
m,250,1,22189,cuda,20000,250,64,10,0.17402148246765137,0.7373699934774609,0.7864858452753838,,,,,,,,ok,
m,250,2,22190,author,20000,250,64,10,1.2593257427215576,0.6783083786348906,0.7674047434443916,,,,,,,,ok,
m,250,2,22190,cuda,20000,250,64,10,0.17317605018615723,0.6951613482221911,0.7743399069662396,,,,,,,,ok,
m,250,3,22191,author,20000,250,64,10,1.2403748035430908,0.5805257670767591,0.7322102626047504,,,,,,,,ok,
m,250,3,22191,cuda,20000,250,64,10,0.17176246643066406,0.7247423931190305,0.7712520307206393,,,,,,,,ok,
m,250,4,22192,author,20000,250,64,10,1.18623685836792,0.6183083907305749,0.7332519698373715,,,,,,,,ok,
m,250,4,22192,cuda,20000,250,64,10,0.17054390907287598,0.6973126131914679,0.7711670988232626,,,,,,,,ok,
m,500,0,22188,author,20000,500,64,10,2.3212311267852783,0.7439568299192747,0.7839910903841456,,,,,,,,ok,
m,500,0,22188,cuda,20000,500,64,10,0.3555641174316406,0.6151370676238967,0.7590743320683462,,,,,,,,ok,
m,500,1,22189,author,20000,500,64,10,2.333991765975952,0.6979565475795634,0.765126566191529,,,,,,,,ok,
m,500,1,22189,cuda,20000,500,64,10,0.3519723415374756,0.7215208144886605,0.7826605878381292,,,,,,,,ok,
m,500,2,22190,author,20000,500,64,10,2.374556064605713,0.5715658208830657,0.7478956497424873,,,,,,,,ok,
m,500,2,22190,cuda,20000,500,64,10,0.35952258110046387,0.7442746145215295,0.793746246039523,,,,,,,,ok,
m,500,3,22191,author,20000,500,64,10,2.2757060527801514,0.5910490598845314,0.7467206305866065,,,,,,,,ok,
m,500,3,22191,cuda,20000,500,64,10,0.3510880470275879,0.660416570218006,0.7548695738026049,,,,,,,,ok,
m,500,4,22192,author,20000,500,64,10,2.3236966133117676,0.7501112537058069,0.7967774434317729,,,,,,,,ok,
m,500,4,22192,cuda,20000,500,64,10,0.3497352600097656,0.7182129829418908,0.7695555847807817,,,,,,,,ok,
m,1000,0,22188,author,20000,1000,64,10,4.750753402709961,0.6824534050149003,0.7733439319655612,,,,,,,,ok,
m,1000,0,22188,cuda,20000,1000,64,10,0.6828560829162598,0.7352793623547849,0.7997206616586505,,,,,,,,ok,
m,1000,1,22189,author,20000,1000,64,10,4.736143350601196,0.6736160968520843,0.7687634656721455,,,,,,,,ok,
m,1000,1,22189,cuda,20000,1000,64,10,0.674842119216919,0.6945697796513147,0.7832898544596577,,,,,,,,ok,
m,1000,2,22190,author,20000,1000,64,10,4.762889862060547,0.7137645611424972,0.7916036117739298,,,,,,,,ok,
m,1000,2,22190,cuda,20000,1000,64,10,0.6776494979858398,0.7231946385730528,0.7893478342499479,,,,,,,,ok,
m,1000,3,22191,author,20000,1000,64,10,4.6591761112213135,0.5723426374238649,0.7494445079313556,,,,,,,,ok,
m,1000,3,22191,cuda,20000,1000,64,10,0.6716873645782471,0.6383589057317476,0.7767821903136106,,,,,,,,ok,
m,1000,4,22192,author,20000,1000,64,10,4.7682061195373535,0.6797104882432444,0.7825643429503304,,,,,,,,ok,
m,1000,4,22192,cuda,20000,1000,64,10,0.6745831966400146,0.6524209051026627,0.7682038000950521,,,,,,,,ok,
m,1500,0,22188,author,20000,1500,64,10,7.700102090835571,0.6865081960973244,0.7778229708905645,,,,,,,,ok,
m,1500,0,22188,cuda,20000,1500,64,10,1.0414094924926758,0.7096005240659303,0.7805840815121361,,,,,,,,ok,
m,1500,1,22189,author,20000,1500,64,10,7.698889255523682,0.6921897594200837,0.7845071397934554,,,,,,,,ok,
m,1500,1,22189,cuda,20000,1500,64,10,1.0373198986053467,0.6165655892375789,0.7432639209326345,,,,,,,,ok,
m,1500,2,22190,author,20000,1500,64,10,7.653732776641846,0.6269502397429129,0.7746673310401662,,,,,,,,ok,
m,1500,2,22190,cuda,20000,1500,64,10,1.041943073272705,0.6413214284039298,0.7581354768046475,,,,,,,,ok,
m,1500,3,22191,author,20000,1500,64,10,7.690924644470215,0.7535533813326216,0.8086245410668023,,,,,,,,ok,
m,1500,3,22191,cuda,20000,1500,64,10,1.0361907482147217,0.6591960565163647,0.7535355499656468,,,,,,,,ok,
m,1500,4,22192,author,20000,1500,64,10,7.711806535720825,0.7648046364494343,0.8151182030100199,,,,,,,,ok,
m,1500,4,22192,cuda,20000,1500,64,10,1.0402300357818604,0.5524809665689876,0.7136686280285157,,,,,,,,ok,
m,2000,0,22188,author,20000,2000,64,10,10.729396104812622,0.6921588789836156,0.7833857057176652,,,,,,,,ok,
m,2000,0,22188,cuda,20000,2000,64,10,1.3856747150421143,0.5936186179480911,0.747182399927109,,,,,,,,ok,
m,2000,1,22189,author,20000,2000,64,10,10.886866092681885,0.5262826417794132,0.7145142373574693,,,,,,,,ok,
m,2000,1,22189,cuda,20000,2000,64,10,1.3820304870605469,0.5808459313244193,0.7320377455321596,,,,,,,,ok,
m,2000,2,22190,author,20000,2000,64,10,10.904262781143188,0.5609133922423923,0.7414803236241605,,,,,,,,ok,
m,2000,2,22190,cuda,20000,2000,64,10,1.3950035572052002,0.6407359208459733,0.7613191174811149,,,,,,,,ok,
m,2000,3,22191,author,20000,2000,64,10,10.704350709915161,0.7286583273094476,0.7941309270331794,,,,,,,,ok,
m,2000,3,22191,cuda,20000,2000,64,10,1.3916842937469482,0.5891675299233178,0.7420185416185476,,,,,,,,ok,
m,2000,4,22192,author,20000,2000,64,10,10.751832485198975,0.7378060950514792,0.7928650004247157,,,,,,,,ok,
m,2000,4,22192,cuda,20000,2000,64,10,1.4004766941070557,0.6708720405323146,0.7659364453174589,,,,,,,,ok,
m,4000,0,22188,author,20000,4000,64,10,26.540375232696533,0.5680339346674281,0.7250805859299342,,,,,,,,ok,
m,4000,0,22188,cuda,20000,4000,64,10,3.0370583534240723,0.7228775168006987,0.7659335925512961,,,,,,,,ok,
m,4000,1,22189,author,20000,4000,64,10,26.052102088928223,0.5572406917782259,0.7236444372474344,,,,,,,,ok,
m,4000,1,22189,cuda,20000,4000,64,10,3.023235321044922,0.6950653282815902,0.764288909648782,,,,,,,,ok,
m,4000,2,22190,author,20000,4000,64,10,26.403122901916504,0.588296642946622,0.7223307072160401,,,,,,,,ok,
m,4000,2,22190,cuda,20000,4000,64,10,3.0318217277526855,0.5951322151623393,0.6828498385612164,,,,,,,,ok,
m,4000,3,22191,author,20000,4000,64,10,26.019176721572876,0.5782115093323953,0.7363079893331884,,,,,,,,ok,
m,4000,3,22191,cuda,20000,4000,64,10,3.017789125442505,0.6774079584157361,0.7531147490275941,,,,,,,,ok,
m,4000,4,22192,author,20000,4000,64,10,26.413455963134766,0.5631624283496864,0.7346206745380661,,,,,,,,ok,
m,4000,4,22192,cuda,20000,4000,64,10,3.0270819664001465,0.5891602649103674,0.715469132396178,,,,,,,,ok,
m,8000,0,22188,author,20000,8000,64,10,76.22795844078064,0.43466869398349806,0.6437670126693633,,,,,,,,ok,
m,8000,0,22188,cuda,20000,8000,64,10,6.7858545780181885,0.5228368429526014,0.6192970181294782,,,,,,,,ok,
m,8000,1,22189,author,20000,8000,64,10,77.97977328300476,0.39950362943674883,0.5961389555594129,,,,,,,,ok,
m,8000,1,22189,cuda,20000,8000,64,10,6.746074914932251,0.6034264268803134,0.666869560050894,,,,,,,,ok,
m,8000,2,22190,author,20000,8000,64,10,75.89305210113525,0.5198113624617074,0.676815584396871,,,,,,,,ok,
m,8000,2,22190,cuda,20000,8000,64,10,6.725457668304443,0.4180169130935701,0.5579778965397281,,,,,,,,ok,
m,8000,3,22191,author,20000,8000,64,10,76.8328161239624,0.4429006445412656,0.6181281897321228,,,,,,,,ok,
m,8000,3,22191,cuda,20000,8000,64,10,6.745372295379639,0.5673562091332072,0.6598114409039451,,,,,,,,ok,
m,8000,4,22192,author,20000,8000,64,10,77.68146681785583,0.5142190510652546,0.6830241801560126,,,,,,,,ok,
m,8000,4,22192,cuda,20000,8000,64,10,6.7128472328186035,0.5935535767244053,0.6710187609179201,,,,,,,,ok,
m,12000,0,22188,author,20000,12000,64,10,152.25779271125793,0.5905814442865794,0.6727887543374668,,,,,,,,ok,
m,12000,0,22188,cuda,20000,12000,64,10,11.886865615844727,0.27100149630001574,0.3758139836834418,,,,,,,,ok,
m,12000,1,22189,author,20000,12000,64,10,151.13632106781006,0.44260752660817043,0.6051487134953492,,,,,,,,ok,
m,12000,1,22189,cuda,20000,12000,64,10,11.912833213806152,0.25588229982885247,0.31888538010620116,,,,,,,,ok,
m,12000,2,22190,author,20000,12000,64,10,151.89187502861023,0.37815692540793544,0.5770085182787567,,,,,,,,ok,
m,12000,2,22190,cuda,20000,12000,64,10,11.879626035690308,0.18849151695253175,0.2703108552656078,,,,,,,,ok,
m,12000,3,22191,author,20000,12000,64,10,148.13626909255981,0.4842530502156065,0.6383389652381456,,,,,,,,ok,
m,12000,3,22191,cuda,20000,12000,64,10,11.902653932571411,0.25030790934647956,0.3243996334268374,,,,,,,,ok,
m,12000,4,22192,author,20000,12000,64,10,148.03479766845703,0.4531241545720345,0.6199723428597066,,,,,,,,ok,
m,12000,4,22192,cuda,20000,12000,64,10,11.849729299545288,0.2036339624849318,0.2958516148102393,,,,,,,,ok,
