experiment,point,run,seed,method,n,m,d_or_h,k,total_s,ari,nmi,t_kmeans,t_affinity,t_spectral,t_propagate,t_laplacian,t_eigen,t_spectral_kmeans,status,error
m,50,0,22188,cpu_4,20000,50,64,10,0.3435084819793701,0.6010837966922037,0.6895023897108038,,,,,,,,ok,
m,50,0,22188,cpu_8,20000,50,64,10,0.13195085525512695,0.6010837966922037,0.6895023897108038,,,,,,,,ok,
m,50,0,22188,cpu_16,20000,50,64,10,0.07409095764160156,0.6010837966922037,0.6895023897108038,,,,,,,,ok,
m,50,0,22188,cpu_36,20000,50,64,10,0.06306743621826172,0.6010837966922037,0.6895023897108038,,,,,,,,ok,
m,50,1,22189,cpu_4,20000,50,64,10,0.3015143871307373,0.5851240592279887,0.6666678358343686,,,,,,,,ok,
m,50,1,22189,cpu_8,20000,50,64,10,0.130462646484375,0.5851240592279887,0.6666678358343686,,,,,,,,ok,
m,50,1,22189,cpu_16,20000,50,64,10,0.07550287246704102,0.5851240592279887,0.6666678358343686,,,,,,,,ok,
m,50,1,22189,cpu_36,20000,50,64,10,0.057599782943725586,0.5851240592279887,0.6666678358343686,,,,,,,,ok,
m,50,2,22190,cpu_4,20000,50,64,10,0.3051149845123291,0.5157732441450397,0.6420969918947445,,,,,,,,ok,
m,50,2,22190,cpu_8,20000,50,64,10,0.1318056583404541,0.5157732441450397,0.6420969918947445,,,,,,,,ok,
m,50,2,22190,cpu_16,20000,50,64,10,0.07309150695800781,0.5157732441450397,0.6420969918947445,,,,,,,,ok,
m,50,2,22190,cpu_36,20000,50,64,10,0.05775117874145508,0.5157732441450397,0.6420969918947445,,,,,,,,ok,
m,50,3,22191,cpu_4,20000,50,64,10,0.3008432388305664,0.5188332045857342,0.6603892794943299,,,,,,,,ok,
m,50,3,22191,cpu_8,20000,50,64,10,0.1290576457977295,0.5188332045857342,0.6603892794943299,,,,,,,,ok,
m,50,3,22191,cpu_16,20000,50,64,10,0.07124519348144531,0.5188332045857342,0.6603892794943299,,,,,,,,ok,
m,50,3,22191,cpu_36,20000,50,64,10,0.05586981773376465,0.5188332045857342,0.6603892794943299,,,,,,,,ok,
m,50,4,22192,cpu_4,20000,50,64,10,0.3042473793029785,0.5535021674122231,0.6670017609642288,,,,,,,,ok,
