experiment,point,run,seed,method,n,m,d_or_h,k,total_s,ari,nmi,t_kmeans,t_affinity,t_spectral,t_propagate,t_laplacian,t_eigen,t_spectral_kmeans,status,error
n,1000,0,22188,author,1000,250,64,10,0.16136407852172852,1.0,1.0,,,,,,,,ok,
n,1000,0,22188,cuda,1000,250,64,10,0.19525957107543945,1.0,1.0,,,,,,,,ok,
n,1000,1,22189,author,1000,250,64,10,0.13597726821899414,1.0,1.0,,,,,,,,ok,
n,1000,1,22189,cuda,1000,250,64,10,0.0741424560546875,1.0,1.0,,,,,,,,ok,
n,1000,2,22190,author,1000,250,64,10,0.14507317543029785,1.0,1.0,,,,,,,,ok,
n,1000,2,22190,cuda,1000,250,64,10,0.07415127754211426,1.0,1.0,,,,,,,,ok,
n,1000,3,22191,author,1000,250,64,10,0.1429429054260254,1.0,1.0,,,,,,,,ok,
n,1000,3,22191,cuda,1000,250,64,10,0.07386589050292969,1.0,1.0,,,,,,,,ok,
n,1000,4,22192,author,1000,250,64,10,0.14062023162841797,1.0,1.0,,,,,,,,ok,
n,1000,4,22192,cuda,1000,250,64,10,0.07382869720458984,1.0,1.0,,,,,,,,ok,
n,2500,0,22188,author,2500,250,64,10,0.23302364349365234,1.0,1.0,,,,,,,,ok,
n,2500,0,22188,cuda,2500,250,64,10,0.07923293113708496,1.0,1.0,,,,,,,,ok,
n,2500,1,22189,author,2500,250,64,10,0.2550537586212158,1.0,1.0,,,,,,,,ok,
n,2500,1,22189,cuda,2500,250,64,10,0.07903647422790527,1.0,1.0,,,,,,,,ok,
n,2500,2,22190,author,2500,250,64,10,0.2563133239746094,1.0,1.0,,,,,,,,ok,
n,2500,2,22190,cuda,2500,250,64,10,0.07899761199951172,1.0,1.0,,,,,,,,ok,
n,2500,3,22191,author,2500,250,64,10,0.2531759738922119,1.0,1.0,,,,,,,,ok,
n,2500,3,22191,cuda,2500,250,64,10,0.07926106452941895,1.0,1.0,,,,,,,,ok,
n,2500,4,22192,author,2500,250,64,10,0.25400733947753906,1.0,1.0,,,,,,,,ok,
n,2500,4,22192,cuda,2500,250,64,10,0.07904267311096191,1.0,1.0,,,,,,,,ok,
n,5000,0,22188,author,5000,250,64,10,0.3937408924102783,1.0,1.0,,,,,,,,ok,
n,5000,0,22188,cuda,5000,250,64,10,0.08600997924804688,1.0,1.0,,,,,,,,ok,
n,5000,1,22189,author,5000,250,64,10,0.3916459083557129,1.0,1.0,,,,,,,,ok,
n,5000,1,22189,cuda,5000,250,64,10,0.08598780632019043,1.0,1.0,,,,,,,,ok,
n,5000,2,22190,author,5000,250,64,10,0.3893773555755615,1.0,1.0,,,,,,,,ok,
n,5000,2,22190,cuda,5000,250,64,10,0.08609962463378906,1.0,1.0,,,,,,,,ok,
n,5000,3,22191,author,5000,250,64,10,0.38836145401000977,1.0,1.0,,,,,,,,ok,
n,5000,3,22191,cuda,5000,250,64,10,0.08599519729614258,1.0,1.0,,,,,,,,ok,
n,5000,4,22192,author,5000,250,64,10,0.38838934898376465,1.0,1.0,,,,,,,,ok,
n,5000,4,22192,cuda,5000,250,64,10,0.08625531196594238,1.0,1.0,,,,,,,,ok,
n,10000,0,22188,author,10000,250,64,10,0.6284544467926025,1.0,1.0,,,,,,,,ok,
n,10000,0,22188,cuda,10000,250,64,10,0.10199594497680664,0.999777688808572,0.9996565705515906,,,,,,,,ok,
n,10000,1,22189,author,10000,250,64,10,0.6256754398345947,1.0,1.0,,,,,,,,ok,
n,10000,1,22189,cuda,10000,250,64,10,0.10166621208190918,1.0,1.0,,,,,,,,ok,
n,10000,2,22190,author,10000,250,64,10,0.6259734630584717,1.0,1.0,,,,,,,,ok,
n,10000,2,22190,cuda,10000,250,64,10,0.10169792175292969,1.0,1.0,,,,,,,,ok,
n,10000,3,22191,author,10000,250,64,10,0.6254582405090332,1.0,1.0,,,,,,,,ok,
n,10000,3,22191,cuda,10000,250,64,10,0.10173344612121582,0.9995556,0.9993131845475512,,,,,,,,ok,
n,10000,4,22192,author,10000,250,64,10,0.6283674240112305,1.0,1.0,,,,,,,,ok,
n,10000,4,22192,cuda,10000,250,64,10,0.10242486000061035,0.9995553776567105,0.9993131410882663,,,,,,,,ok,
n,25000,0,22188,author,25000,250,64,10,1.4464235305786133,1.0,1.0,,,,,,,,ok,
n,25000,0,22188,cuda,25000,250,64,10,0.20549917221069336,1.0,1.0,,,,,,,,ok,
n,25000,1,22189,author,25000,250,64,10,1.46443510055542,1.0,1.0,,,,,,,,ok,
n,25000,1,22189,cuda,25000,250,64,10,0.18354344367980957,1.0,1.0,,,,,,,,ok,
n,25000,2,22190,author,25000,250,64,10,1.4023265838623047,1.0,1.0,,,,,,,,ok,
n,25000,2,22190,cuda,25000,250,64,10,0.18370914459228516,1.0,1.0,,,,,,,,ok,
n,25000,3,22191,author,25000,250,64,10,1.389524221420288,1.0,1.0,,,,,,,,ok,
n,25000,3,22191,cuda,25000,250,64,10,0.1839892864227295,1.0,1.0,,,,,,,,ok,
n,25000,4,22192,author,25000,250,64,10,1.3895328044891357,1.0,1.0,,,,,,,,ok,
