experiment,point,run,seed,method,n,m,d_or_h,k,total_s,ari,nmi,t_kmeans,t_affinity,t_spectral,t_propagate,t_laplacian,t_eigen,t_spectral_kmeans,status,error
n,1000,0,22188,cpu_4,1000,250,64,10,0.07511663436889648,0.7862522432367848,0.9078324030269048,,,,,,,,ok,
n,1000,0,22188,cpu_8,1000,250,64,10,0.04219675064086914,0.5546699156083801,0.8080290858085437,,,,,,,,ok,
n,1000,0,22188,cpu_16,1000,250,64,10,0.04292607307434082,0.7373022067879822,0.8752083162008065,,,,,,,,ok,
n,1000,0,22188,cpu_36,1000,250,64,10,0.06390142440795898,0.7075322453829321,0.872501236164662,,,,,,,,ok,
n,1000,1,22189,cpu_4,1000,250,64,10,0.08112907409667969,0.5637438516882137,0.7974553292509232,,,,,,,,ok,
n,1000,1,22189,cpu_8,1000,250,64,10,0.0418856143951416,0.6780359523012334,0.8348838246751082,,,,,,,,ok,
n,1000,1,22189,cpu_16,1000,250,64,10,0.0420682430267334,0.6128158665554018,0.8209297821430147,,,,,,,,ok,
n,1000,1,22189,cpu_36,1000,250,64,10,0.059735774993896484,0.6716634611220642,0.8415633645210179,,,,,,,,ok,
n,1000,2,22190,cpu_4,1000,250,64,10,0.08291864395141602,0.9432771214717287,0.9714290449591141,,,,,,,,ok,
n,1000,2,22190,cpu_8,1000,250,64,10,0.04227185249328613,0.5319122199325056,0.7746378616357364,,,,,,,,ok,
n,1000,2,22190,cpu_16,1000,250,64,10,0.04030108451843262,0.6181721272727849,0.8215946995853775,,,,,,,,ok,
n,1000,2,22190,cpu_36,1000,250,64,10,0.06312727928161621,1.0,1.0,,,,,,,,ok,
n,1000,3,22191,cpu_4,1000,250,64,10,0.08273553848266602,0.5198497416980036,0.8149404795987384,,,,,,,,ok,
n,1000,3,22191,cpu_8,1000,250,64,10,0.04249072074890137,0.759429029492213,0.8954437096429996,,,,,,,,ok,
n,1000,3,22191,cpu_16,1000,250,64,10,0.04166913032531738,0.8406876008790298,0.9348982904867227,,,,,,,,ok,
n,1000,3,22191,cpu_36,1000,250,64,10,0.06280183792114258,0.933201793961808,0.9682406381345303,,,,,,,,ok,
n,1000,4,22192,cpu_4,1000,250,64,10,0.08426833152770996,0.8608923314586701,0.9360994966245014,,,,,,,,ok,
n,1000,4,22192,cpu_8,1000,250,64,10,0.04253125190734863,0.7922167043622675,0.9167914978805325,,,,,,,,ok,
n,1000,4,22192,cpu_16,1000,250,64,10,0.041277408599853516,0.8275129632666078,0.9292975721215533,,,,,,,,ok,
n,1000,4,22192,cpu_36,1000,250,64,10,0.06098818778991699,0.8261455209795846,0.9288165409830577,,,,,,,,ok,
n,2500,0,22188,cpu_4,2500,250,64,10,0.1831834316253662,0.7212503122515138,0.8692753490184804,,,,,,,,ok,
n,2500,0,22188,cpu_8,2500,250,64,10,0.10396552085876465,0.5765129801204261,0.8177421332843311,,,,,,,,ok,
n,2500,0,22188,cpu_16,2500,250,64,10,0.07396745681762695,0.5425392495296596,0.781248063765105,,,,,,,,ok,
n,2500,0,22188,cpu_36,2500,250,64,10,0.06892037391662598,0.6809109149284549,0.8563148517553711,,,,,,,,ok,
n,2500,1,22189,cpu_4,2500,250,64,10,0.185227632522583,0.8202640071485418,0.919507545119751,,,,,,,,ok,
n,2500,1,22189,cpu_8,2500,250,64,10,0.10617613792419434,0.8178833442335313,0.9094714724392722,,,,,,,,ok,
n,2500,1,22189,cpu_16,2500,250,64,10,0.07632732391357422,0.7674917605242669,0.8943722624451917,,,,,,,,ok,
n,2500,1,22189,cpu_36,2500,250,64,10,0.06914901733398438,0.7416939070038017,0.8900170443884222,,,,,,,,ok,
n,2500,2,22190,cpu_4,2500,250,64,10,0.18518614768981934,0.7120337605616714,0.8579947934261476,,,,,,,,ok,
n,2500,2,22190,cpu_8,2500,250,64,10,0.10455155372619629,0.6411836596643068,0.8421390673861405,,,,,,,,ok,
n,2500,2,22190,cpu_16,2500,250,64,10,0.07592391967773438,0.5655265618603054,0.8127539053742407,,,,,,,,ok,
n,2500,2,22190,cpu_36,2500,250,64,10,0.06888103485107422,0.6606286277329787,0.8415223372159041,,,,,,,,ok,
n,2500,3,22191,cpu_4,2500,250,64,10,0.18293428421020508,0.6222128955791393,0.8227680112584634,,,,,,,,ok,
n,2500,3,22191,cpu_8,2500,250,64,10,0.10559201240539551,0.8713665374867419,0.9548978678607414,,,,,,,,ok,
n,2500,3,22191,cpu_16,2500,250,64,10,0.07976889610290527,0.8713665374867419,0.9548978678607414,,,,,,,,ok,
n,2500,3,22191,cpu_36,2500,250,64,10,0.07116031646728516,0.8713665374867419,0.9548978678607414,,,,,,,,ok,
n,2500,4,22192,cpu_4,2500,250,64,10,0.18485426902770996,0.7214558847176413,0.8653157444691122,,,,,,,,ok,
n,2500,4,22192,cpu_8,2500,250,64,10,0.10567617416381836,0.7602490470138772,0.888718329110104,,,,,,,,ok,
n,2500,4,22192,cpu_16,2500,250,64,10,0.07759332656860352,0.801168591034953,0.907736520568972,,,,,,,,ok,
n,2500,4,22192,cpu_36,2500,250,64,10,0.06969809532165527,0.8265704122826016,0.9121600722196842,,,,,,,,ok,
n,5000,0,22188,cpu_4,5000,250,64,10,0.3506484031677246,0.8306623835785916,0.9236547371531031,,,,,,,,ok,
n,5000,0,22188,cpu_8,5000,250,64,10,0.17774176597595215,0.9337965362136854,0.9614678290097043,,,,,,,,ok,
n,5000,0,22188,cpu_16,5000,250,64,10,0.11240386962890625,0.794213785922744,0.9021860754686881,,,,,,,,ok,
n,5000,0,22188,cpu_36,5000,250,64,10,0.11295485496520996,0.9337965362136854,0.9614678290097045,,,,,,,,ok,
n,5000,1,22189,cpu_4,5000,250,64,10,0.34975385665893555,0.7361825277346837,0.8781716446734895,,,,,,,,ok,
n,5000,1,22189,cpu_8,5000,250,64,10,0.17808747291564941,0.6801178757317802,0.8444395677238944,,,,,,,,ok,
n,5000,1,22189,cpu_16,5000,250,64,10,0.11541128158569336,0.7444171894018198,0.8695793244644308,,,,,,,,ok,
n,5000,1,22189,cpu_36,5000,250,64,10,0.11380577087402344,0.6840252612260617,0.8611636340640881,,,,,,,,ok,
n,5000,2,22190,cpu_4,5000,250,64,10,0.3510923385620117,0.7482861705008858,0.8841146625658075,,,,,,,,ok,
n,5000,2,22190,cpu_8,5000,250,64,10,0.1767892837524414,0.7367225976012102,0.8830704608999245,,,,,,,,ok,
n,5000,2,22190,cpu_16,5000,250,64,10,0.11546826362609863,0.8213451096915212,0.9114459432531694,,,,,,,,ok,
n,5000,2,22190,cpu_36,5000,250,64,10,0.11219143867492676,0.7843987433259252,0.8961645253042015,,,,,,,,ok,
n,5000,3,22191,cpu_4,5000,250,64,10,0.3495616912841797,0.7173498993647087,0.8611201255912834,,,,,,,,ok,
n,5000,3,22191,cpu_8,5000,250,64,10,0.1775345802307129,0.7230196175854362,0.8495306791784175,,,,,,,,ok,
n,5000,3,22191,cpu_16,5000,250,64,10,0.11678171157836914,0.6184262202324038,0.8238081628212822,,,,,,,,ok,
n,5000,3,22191,cpu_36,5000,250,64,10,0.11333513259887695,0.6189785864696075,0.8144438866895471,,,,,,,,ok,
n,5000,4,22192,cpu_4,5000,250,64,10,0.348574161529541,0.6962224022374425,0.8568359076595734,,,,,,,,ok,
n,5000,4,22192,cpu_8,5000,250,64,10,0.17725300788879395,0.669743002719634,0.8333070880465988,,,,,,,,ok,
n,5000,4,22192,cpu_16,5000,250,64,10,0.11452221870422363,0.5521262035232323,0.7840798959174187,,,,,,,,ok,
n,5000,4,22192,cpu_36,5000,250,64,10,0.11058235168457031,0.5381653961371888,0.7841759964096346,,,,,,,,ok,
n,10000,0,22188,cpu_4,10000,250,64,10,0.6801815032958984,0.5969831041903754,0.8154913004068878,,,,,,,,ok,
n,10000,0,22188,cpu_8,10000,250,64,10,0.3477182388305664,0.5528614195734427,0.800394969065816,,,,,,,,ok,
n,10000,0,22188,cpu_16,10000,250,64,10,0.19412589073181152,0.5404884788739795,0.7929212571875087,,,,,,,,ok,
n,10000,0,22188,cpu_36,10000,250,64,10,0.16875338554382324,0.660654536130902,0.8311059471915465,,,,,,,,ok,
n,10000,1,22189,cpu_4,10000,250,64,10,0.6802599430084229,0.7461498599328953,0.8764493006335299,,,,,,,,ok,
